Player,Year,Games Played,Win Share
Precious Achiuwa,2024,263,9.4
Bam Adebayo,2024,489,50.1
Ochai Agbaji,2024,137,1.4000000000000001
Santi Aldama,2024,170,7.3
Nickeil Alexander-Walker,2024,299,6.0
Grayson Allen,2024,339,20.099999999999998
Jarrett Allen,2024,486,55.1
Timmy Allen,2024,5,-0.1
Jose Alvarado,2024,171,6.0
Kyle Anderson,2024,653,36.599999999999994
Giannis Antetokounmpo,2024,792,109.2
Thanasis Antetokounmpo,2024,198,1.9
Cole Anthony,2024,253,8.9
OG Anunoby,2024,418,24.8
Ryan Arcidiacono,2024,257,6.1
Deni Avdija,2024,287,9.1
Deandre Ayton,2024,358,34.699999999999996
Udoka Azubuike,2024,84,1.9
Ibou Badji,2024,22,0.2
Marvin Bagley III,2024,258,12.1
Amari Bailey,2024,10,-0.1
Patrick Baldwin Jr.,2024,69,0.30000000000000004
LaMelo Ball,2024,184,11.5
Mo Bamba,2024,332,14.7
Paolo Banchero,2024,152,7.699999999999999
Desmond Bane,2024,244,19.0
Dalano Banton,2024,149,1.3
Dominick Barlow,2024,61,1.8
Harrison Barnes,2024,911,55.9
Scottie Barnes,2024,211,15.9
RJ Barrett,2024,329,11.0
Charles Bassey,2024,77,2.8
Emoni Bates,2024,15,-0.3
Keita Bates-Diop,2024,283,7.3999999999999995
Nicolas Batum,2024,1053,70.5
Darius Bazley,2024,237,3.2
Bradley Beal,2024,748,56.1
Malik Beasley,2024,496,15.3
MarJon Beauchamp,2024,100,1.1
Jules Bernard,2024,19,0.1
Dāvis Bertāns,2024,475,18.700000000000003
Patrick Beverley,2024,666,40.300000000000004
Saddiq Bey,2024,292,14.7
Goga Bitadze,2024,249,9.1
Onuralp Bitim,2024,23,-0.1
Bismack Biyombo,2024,839,32.4
Anthony Black,2024,69,1.6
Leaky Black,2024,26,0.5
Buddy Boeheim,2024,20,-0.1
Bogdan Bogdanović,2024,449,22.999999999999996
Bojan Bogdanović,2024,719,37.599999999999994
Bol Bol,2024,166,4.1
Marques Bolden,2024,18,0.3
Devin Booker,2024,598,44.99999999999999
Brandon Boston Jr.,2024,105,0.30000000000000004
Chris Boucher,2024,357,23.299999999999997
James Bouknight,2024,79,-0.30000000000000004
Jamaree Bouyea,2024,14,-0.3
Malaki Branham,2024,141,-0.4
Christian Braun,2024,158,5.3
Mikal Bridges,2024,474,36.3
Miles Bridges,2024,360,18.1
Oshae Brissett,2024,227,6.8999999999999995
Izaiah Brockington,2024,1,0.0
Malcolm Brogdon,2024,439,32.6
Armoni Brooks,2024,84,0.5
Dillon Brooks,2024,417,9.7
Bruce Brown,2024,416,19.3
Charlie Brown Jr.,2024,49,-0.2
Greg Brown III,2024,70,0.30000000000000004
Jaylen Brown,2024,540,35.3
Kendall Brown,2024,21,0.2
Kobe Brown,2024,44,0.5
Moses Brown,2024,150,5.1
Troy Brown Jr.,2024,356,8.6
Jalen Brunson,2024,422,37.2
Thomas Bryant,2024,267,17.4
Kobe Bufkin,2024,17,-0.1
Reggie Bullock,2024,556,21.5
Alec Burks,2024,742,30.099999999999998
Jared Butler,2024,88,1.1
Jimmy Butler,2024,814,114.99999999999999
Jamal Cain,2024,44,1.3
Kentavious Caldwell-Pope,2024,835,43.69999999999999
Toumani Camara,2024,70,2.0
Clint Capela,2024,609,66.2
Jevon Carter,2024,376,8.3
Wendell Carter Jr.,2024,315,22.599999999999998
D.J. Carton,2024,4,0.0
Alex Caruso,2024,363,16.7
Colin Castleton,2024,16,0.2
Malcolm Cazalon,2024,1,0.0
Julian Champagnie,2024,91,2.2
Justin Champagnie,2024,56,1.1
Max Christie,2024,108,1.2999999999999998
Sidy Cissoko,2024,12,0.3
Brandon Clarke,2024,243,20.3
Jordan Clarkson,2024,716,23.500000000000004
Nic Claxton,2024,241,21.799999999999997
Noah Clowney,2024,23,0.9
Amir Coffey,2024,251,7.6
John Collins,2024,432,36.7
Zach Collins,2024,314,9.0
Mike Conley,2024,1101,100.39999999999999
Pat Connaughton,2024,554,23.4
Bilal Coulibaly,2024,63,0.4
