Player,Year,Games Played,Win Share, relevancy
Precious Achiuwa,2024,263,9.4, 1.0447582533087674
Bam Adebayo,2024,489,50.1, 2.4561576806530767
Ochai Agbaji,2024,137,1.4000000000000001, 0.4892285467948088
Santi Aldama,2024,170,7.3, 0.6946419326215805
Nickeil Alexander-Walker,2024,299,6.0, 1.113942218949426
Grayson Allen,2024,339,20.099999999999998, 1.4723530994075502
Jarrett Allen,2024,486,55.1, 2.524670565406119
Timmy Allen,2024,5,-0.1, 0.015606499550714284
Jose Alvarado,2024,171,6.0, 0.6775785825857894
Kyle Anderson,2024,653,36.599999999999994, 2.8026501645471353
Giannis Antetokounmpo,2024,792,109.2, 4.419820887524944
Thanasis Antetokounmpo,2024,198,1.9, 0.7050571079973856
Cole Anthony,2024,253,8.9, 1.0027933284698267
OG Anunoby,2024,418,24.8, 1.8156870292572285
Ryan Arcidiacono,2024,257,6.1, 0.9723352039172138
Deni Avdija,2024,287,9.1, 1.1218520256781301
Deandre Ayton,2024,358,34.699999999999996, 1.7670470865227974
Udoka Azubuike,2024,84,1.9, 0.31642074436102213
Ibou Badji,2024,22,0.2, 0.07828545445407864
Marvin Bagley III,2024,258,12.1, 1.0702324838026829
Amari Bailey,2024,10,-0.1, 0.03265195409616883
Patrick Baldwin Jr.,2024,69,0.30000000000000004, 0.24008753033095764
LaMelo Ball,2024,184,11.5, 0.8085109376323176
Mo Bamba,2024,332,14.7, 1.363450092965174
Paolo Banchero,2024,152,7.699999999999999, 0.6395775088563692
Desmond Bane,2024,244,19.0, 1.1311666283982449
Dalano Banton,2024,149,1.3, 0.5285628345542933
Dominick Barlow,2024,61,1.8, 0.2364368503023249
Harrison Barnes,2024,911,55.9, 3.9861326269666053
Scottie Barnes,2024,211,15.9, 0.9698477307604495
RJ Barrett,2024,329,11.0, 1.2949551037024682
Charles Bassey,2024,77,2.8, 0.30673033634384245
Emoni Bates,2024,15,-0.3, 0.04654780234241077
Keita Bates-Diop,2024,283,7.3999999999999995, 1.0814440084984596
Nicolas Batum,2024,1053,70.5, 4.700144795900034
Darius Bazley,2024,237,3.2, 0.8584840943968131
Bradley Beal,2024,748,56.1, 3.433600415084
Malik Beasley,2024,496,15.3, 1.9319898209537207
MarJon Beauchamp,2024,100,1.1, 0.3583677737096263
Jules Bernard,2024,19,0.1, 0.06648337857719962
Dāvis Bertāns,2024,475,18.700000000000003, 1.9139422189494257
Patrick Beverley,2024,666,40.300000000000004, 2.9052360629007503
Saddiq Bey,2024,292,14.7, 1.2270864566015376
Goga Bitadze,2024,249,9.1, 0.9923065711326756
Onuralp Bitim,2024,23,-0.1, 0.07697013591435065
Bismack Biyombo,2024,839,32.4, 3.3705993413545796
Anthony Black,2024,69,1.6, 0.2605599712758396
Leaky Black,2024,26,0.5, 0.09664622753926118
Buddy Boeheim,2024,20,-0.1, 0.06674286318707792
Bogdan Bogdanović,2024,449,22.999999999999996, 1.8930223907461332
Bojan Bogdanović,2024,719,37.599999999999994, 3.043398196043198
Bol Bol,2024,166,4.1, 0.6306118681978152
Marques Bolden,2024,18,0.3, 0.0662238939673213
Devin Booker,2024,598,44.99999999999999, 2.7474336291140644
Brandon Boston Jr.,2024,105,0.30000000000000004, 0.3628148030582304
Chris Boucher,2024,357,23.299999999999997, 1.5841104365585883
James Bouknight,2024,79,-0.30000000000000004, 0.26472962052422894
Jamaree Bouyea,2024,14,-0.3, 0.04313871143331986
Malaki Branham,2024,141,-0.4, 0.474518453738259
Christian Braun,2024,158,5.3, 0.6222367787203634
Mikal Bridges,2024,474,36.3, 2.1876984823710437
Miles Bridges,2024,360,18.1, 1.5124479455063335
Oshae Brissett,2024,227,6.8999999999999995, 0.8826609018413369
Izaiah Brockington,2024,1,0.0, 0.003544939063956948
Malcolm Brogdon,2024,439,32.6, 2.0101125840174285
Armoni Brooks,2024,84,0.5, 0.2943735002665339
Dillon Brooks,2024,417,9.7, 1.574482662757586
Bruce Brown,2024,416,19.3, 1.7222546742107
Charlie Brown Jr.,2024,49,-0.2, 0.16403169640110796
